song_id,entry_date,exit_date,total_days,peak_position,peak_date,time_to_peak
mejor así_myke towers,2025-08-24,2025-08-24,1,37,2025-08-24,0
memorias_mora,2024-05-18,2024-05-27,10,39,2024-05-23,5
mencionar_eladio carrion,2025-01-21,2025-01-21,1,42,2025-01-21,0
mercedes carota_bad bunny,2024-10-14,2024-10-21,8,17,2024-10-14,0
mercho_lil cake & migrantes,2024-05-18,2024-08-29,104,21,2024-05-29,11
mi cuarto_tiago pzk & rels b,2025-10-27,2025-10-27,1,46,2025-10-27,0
mi droga_myke towers,2024-05-18,2024-05-20,3,46,2024-05-18,0
mi ex tenía razón_karol g,2024-08-13,2025-07-31,353,16,2024-08-13,0
mi lova_bad gyal & myke towers,2024-07-09,2024-08-18,41,14,2024-07-09,0
mi luz (ft. rels b)_rvfv,2024-10-23,2025-10-18,361,32,2025-10-11,353
mi nena remix_maikel delacalle & quevedo,2024-05-18,2024-06-10,24,26,2024-05-19,1
miamor_aitana,2024-09-24,2024-09-26,3,34,2024-09-24,0
miamor_aitana & rels b,2024-08-26,2024-09-23,29,4,2024-08-26,0
mientras me curo del cora_karol g,2025-07-24,2025-08-02,10,37,2025-07-28,4
mil mujeres_rauw alejandro,2025-11-17,2025-11-17,1,36,2025-11-17,0
"milo j: bzrp music sessions, vol. 57_bizarrap & milo j",2024-10-07,2025-02-10,127,1,2024-10-07,0
"milo j: bzrp music sessions, vol. 57_paul thin",2025-02-01,2025-02-02,2,39,2025-02-01,0
mirame_blessd & ovy on the drums,2025-07-15,2025-07-30,16,13,2025-07-19,4
mis tías_juanjo bona,2025-07-21,2025-07-23,3,44,2025-07-21,0
modelito_mora,2024-09-09,2025-06-17,282,4,2024-11-12,64
mojabi ghost_tainy,2024-07-02,2024-08-03,33,6,2024-07-02,0
monaco_bad bunny,2024-10-14,2025-01-12,91,1,2024-10-14,0
mr. moondial_quevedo,2025-11-24,2025-11-27,4,5,2025-11-25,1
mr. october_bad bunny,2024-10-14,2024-10-21,8,7,2024-10-14,0
my love_de la ghetto & quevedo,2024-06-04,2024-07-01,28,36,2024-06-15,11
m€ntiras_cruz cafuné,2025-07-21,2025-07-21,1,43,2025-07-21,0
nadie sabe_bad bunny,2024-10-14,2024-10-28,15,3,2024-10-14,0
nana del hilo rojo_saiko,2025-04-28,2025-05-02,5,16,2025-04-28,0
narcotics (with bryant myers)_dei v & bryant myers,2024-10-04,2025-06-11,251,15,2024-12-28,85
"natanael cano: bzrp music sessions, vol. 59_bizarrap & natanael cano",2025-04-06,2025-04-13,8,32,2025-04-07,1
new woman (feat. rosalía)_lisa & rosalía,2025-08-17,2025-08-30,14,15,2025-08-17,0
ni me conozco_rauw alejandro,2025-11-17,2025-11-22,6,26,2025-11-17,0
niña bonita_feid & sean paul,2024-05-18,2024-08-08,83,13,2024-05-19,1
no digas na_feid & yandel,2025-04-17,2025-04-20,4,48,2025-04-18,1
no estuviste en lo malo - remix_morad & beny jr & dellafuente,2024-10-07,2025-01-31,117,12,2024-10-07,0
no estuviste en lo malo_morad,2024-05-18,2024-06-23,37,46,2024-05-31,13
no has cambiado_baby rasta & noriel & hades66,2025-10-13,2025-11-27,46,11,2025-10-15,2
no me quiero casar_bad bunny,2024-10-14,2024-10-19,6,22,2024-10-14,0
no pienso llamar_soge culebra,2024-10-14,2025-03-02,140,7,2024-12-23,70
no pienso llamar_soge culebra & quevedo & garabatto,2024-10-07,2024-10-13,7,16,2024-10-07,0
no soy eterno_bizarrap & milo j,2024-10-07,2024-10-13,7,27,2024-10-10,3
no te quieren conmigo - remix_gaby music & anuel aa & luar la l,2025-04-07,2025-04-27,21,17,2025-04-07,0
no te quieren conmigo_gaby music & lunay & luar la l,2024-12-20,2025-04-10,112,4,2025-01-10,21
no_se_ve.mp3_emilia,2024-11-04,2025-02-09,98,32,2024-11-05,1
no_se_ve.mp3_emilia & ludmilla & zecca,2024-06-08,2024-11-03,149,13,2024-08-25,78
nochentera_vicco,2024-05-18,2025-01-09,237,9,2024-05-27,9
noemú_quevedo,2025-11-24,2025-11-27,4,15,2025-11-24,0
nueva era_duki,2025-11-03,2025-11-27,25,3,2025-11-08,5
número telefónico_saiko,2025-04-28,2025-05-09,12,14,2025-04-28,0
oa_anuel aa & quevedo & maluma,2024-10-16,2025-04-27,194,3,2024-11-11,26
obvio_myke towers,2024-11-25,2024-11-25,1,25,2024-11-25,0
offline_young miko,2025-04-07,2025-06-15,70,16,2025-04-09,2
ohnana_kapo,2025-07-04,2025-11-27,147,2,2025-08-01,28
omega (feat. ralphie choo)_rosalía,2025-09-27,2025-10-10,14,3,2025-09-27,0
orgullosa de papá_cano,2025-11-01,2025-11-23,23,45,2025-11-16,15
otra noche (feat. darell)_myke towers,2025-08-24,2025-11-16,85,11,2025-09-07,14
otra noche_myke towers & darell,2025-08-20,2025-08-23,4,36,2025-08-23,3
otra oportunidad_myke towers,2025-08-24,2025-08-24,1,25,2025-08-24,0
otro round_myke towers,2024-11-25,2024-11-25,1,50,2024-11-25,0
oye bb_omar montes & nicky jam,2024-11-11,2024-11-11,1,43,2024-11-11,0
pa' la vuelta_eladio carrion & morad,2024-08-06,2024-08-06,1,49,2024-08-06,0
pacto (feat. bryant myers & dei v) - remix_jay wheeler & anuel aa & hades66,2024-07-29,2024-10-06,70,20,2024-08-19,21
pacto (feat. luar la l)_jay wheeler,2024-06-01,2024-07-01,31,38,2024-06-22,21
pasajero_mora,2024-08-30,2024-10-13,45,4,2024-08-30,0
pasaporte_rauw alejandro,2025-11-17,2025-11-17,1,43,2025-11-17,0
pasaporte_rauw alejandro & mr. naisgai,2025-09-29,2025-09-29,1,49,2025-09-29,0
pasiempre_tainy,2024-07-02,2024-07-20,19,21,2024-07-05,3
passoa_jhayco,2025-09-08,2025-09-27,20,27,2025-09-08,0
passoa_jhayco & kapo,2025-08-17,2025-09-07,22,19,2025-08-26,9
paz_morad,2024-05-18,2024-05-20,3,44,2024-05-18,0
pedro_jaxomy & agatino romero & raffaella carrà,2025-04-14,2025-05-21,38,14,2025-04-21,7
peligrosa_floyymenor,2025-07-31,2025-11-27,120,3,2025-09-08,39
penas de antaño_bizarrap & milo j,2024-10-09,2024-10-12,4,44,2024-10-10,1
perdió este culo_bad gyal,2025-01-28,2025-02-24,28,18,2025-01-31,3
perreo lento_chris jedi & gaby music & dei v,2025-03-02,2025-03-29,28,28,2025-03-07,5
perro negro_bad bunny,2024-10-14,2025-05-31,230,2,2024-10-17,3
perros&gata$_nicki nicole & saiko,2025-07-04,2025-07-07,4,45,2025-07-04,0
"peso pluma: bzrp music sessions, vol. 55_bizarrap & peso pluma",2024-06-03,2024-07-01,29,2,2024-06-03,0
pide_mora,2024-08-30,2024-09-02,4,15,2024-08-30,0
piribiri_jc reyes & pedro calderon,2024-08-09,2024-09-29,52,37,2024-09-17,39
playa del inglés_quevedo,2024-05-18,2024-12-12,209,15,2024-05-18,0
please please please_sabrina carpenter,2025-06-12,2025-06-20,9,33,2025-06-18,6
polaris - remix_saiko,2025-04-28,2025-05-09,12,31,2025-04-29,1
polaris - remix_saiko & feid & quevedo,2024-06-11,2025-04-20,314,1,2024-06-11,0
polaris_saiko,2024-05-18,2024-06-11,25,22,2024-06-10,23
por atrás_quevedo,2025-11-24,2025-11-27,4,11,2025-11-24,0
potra salvaje - hard remix_isabel aaiún & fernando moreno,2025-05-29,2025-09-24,119,3,2025-06-18,20
potra salvaje_isabel aaiún,2025-07-07,2025-08-28,53,14,2025-07-18,11
privilegios_feid,2024-09-30,2024-10-01,2,46,2024-09-30,0
probemas mentales_jzaeb & eix,2025-03-07,2025-03-07,1,48,2025-03-07,0
problemas mentales_jzaeb & eix,2025-03-20,2025-03-22,3,22,2025-03-22,2
provenza_karol g,2025-07-25,2025-07-30,6,45,2025-07-26,1
"ptazeta: bzrp music sessions, vol. 45_paul thin & ruslana",2025-01-18,2025-01-19,2,42,2025-01-18,0
punto g_quevedo,2024-05-18,2025-01-13,241,23,2024-05-30,12
pólvora_mora,2024-08-30,2024-09-09,11,8,2024-08-30,0
q u e v a s h a c e r h o y ?_omar courtz,2025-09-25,2025-11-27,64,1,2025-10-02,7
qlona_karol g,2024-08-19,2025-10-19,427,8,2024-09-14,26
que asco de todo_quevedo,2025-11-24,2025-11-27,4,19,2025-11-24,0
que me lleve el aire_luis cortés,2025-10-10,2025-10-17,8,42,2025-10-13,3
que te vaya bien_rvfv,2024-05-18,2024-06-07,21,26,2024-05-18,0
quevedo #49 after hour the mixtape_dj saot st,2024-06-04,2024-06-04,1,48,2024-06-04,0
"quevedo: bzrp music sessions, vol. 52_bizarrap & quevedo",2024-05-18,2025-01-03,231,27,2024-05-29,11
quickie_dei v,2025-11-19,2025-11-25,7,31,2025-11-23,4
quien es dei v?_dei v,2024-09-24,2025-04-09,198,10,2024-10-04,10
quizás si quizás no_alvaro diaz & quevedo,2024-11-25,2024-12-23,29,13,2024-11-25,0
quién es dei v?_dei v,2025-06-16,2025-06-16,1,50,2025-06-16,0
qué pasaría..._rauw alejandro,2025-11-17,2025-11-27,11,1,2025-11-17,0
qué pecao_manuel turizo,2025-11-24,2025-11-27,4,34,2025-11-24,0
qué pecao_manuel turizo & kapo,2025-10-06,2025-11-23,49,13,2025-10-13,7
rang€ rov€r_cruz cafuné,2025-07-21,2025-07-21,1,47,2025-07-21,0
rapapa_jc reyes,2025-10-20,2025-11-26,38,8,2025-11-01,12
rapeadita love_rels b,2025-04-28,2025-04-28,1,44,2025-04-28,0
rapido (with cris mj)_dei v,2025-06-16,2025-11-27,165,5,2025-08-22,67
rara vez_taiu & milo j,2024-05-18,2024-12-13,210,15,2024-05-20,2
"rauw alejandro: bzrp music sessions, vol. 56_bizarrap & rauw alejandro",2024-06-24,2024-10-13,112,1,2024-06-24,0
razones_ozuna & anuel aa & mambo kingz,2025-06-30,2025-07-05,6,16,2025-06-30,0
real gangsta love_trueno,2025-06-06,2025-11-16,164,1,2025-06-12,6
reina_mora,2024-08-30,2025-04-17,231,1,2024-08-30,0
remember me_duki,2024-07-19,2024-07-22,4,43,2024-07-19,0
remix exclusivo_feid,2024-05-18,2024-06-04,18,43,2024-05-20,2
revolú_rauw alejandro,2025-11-17,2025-11-23,7,10,2025-11-17,0
"ride or die, pt. 2 (with villano antillano & tokischa)_sevdaliza & villano antillano & tokischa",2025-04-26,2025-05-12,17,26,2025-04-27,1
ritmo de medallo_feid,2024-09-30,2024-10-01,2,37,2024-09-30,0
ritual_myke towers,2024-11-25,2024-11-25,1,48,2024-11-25,0
rko_eladio carrion,2025-01-21,2025-01-24,4,20,2025-01-21,0
rockin' around the christmas tree_brenda lee,2024-12-24,2024-12-27,4,7,2024-12-25,1
rockstar 2.0_duki,2024-06-25,2024-07-02,8,16,2024-06-25,0
rockstar 2.0_duki & jhayco,2024-06-24,2024-06-24,1,14,2024-06-24,0
romero santo_dellafuente,2025-06-16,2025-06-21,6,31,2025-06-16,0
rompeolas_martin urrutia,2025-04-12,2025-04-18,7,39,2025-04-18,6
rosas_la oreja de van gogh,2025-10-17,2025-10-26,10,30,2025-10-19,2
rueda_rvfv,2025-06-02,2025-08-14,74,21,2025-06-19,17
rápido_mora,2024-05-18,2024-05-24,7,41,2024-05-18,0
s91_karol g,2024-07-16,2024-09-04,51,21,2024-08-13,28
sangre y fe_cruz cafuné,2024-05-28,2024-06-16,20,6,2024-05-28,0
santa tell me_ariana grande,2024-12-25,2024-12-27,3,17,2024-12-25,0
santa_rvssian,2025-05-22,2025-11-27,190,2,2025-05-22,0
santa_rvssian & rauw alejandro & ayra starr,2025-04-16,2025-05-21,36,1,2025-04-21,5
se fue_rauw alejandro,2025-11-17,2025-11-27,11,5,2025-11-17,0
se grita_morad,2024-07-21,2024-08-05,16,46,2024-07-25,4
se me olvida_maisak & feid,2025-08-24,2025-11-16,85,11,2025-09-01,8
se pone las nike_cano,2025-11-06,2025-11-27,22,6,2025-11-14,8
se te nota (feat. peso pluma)_myke towers,2025-08-24,2025-08-25,2,27,2025-08-24,0
seda_bad bunny,2024-10-14,2025-02-13,123,6,2024-10-14,0
sexesexy_mushkaa,2025-03-31,2025-04-13,14,40,2025-03-31,0
sexo desenfrenado_myke towers,2025-08-24,2025-08-24,1,45,2025-08-24,0
seya_gims,2024-10-21,2025-02-27,130,21,2024-12-20,60
"shakira: bzrp music sessions, vol. 53_bizarrap & shakira",2024-05-18,2024-07-18,62,30,2024-05-23,5
shars 2023_al safir,2024-11-30,2024-12-01,2,21,2024-11-30,0
shibatto_quevedo,2025-11-24,2025-11-27,4,3,2025-11-26,2
si antes te hubiera conocido_karol g,2025-06-22,2025-11-27,159,1,2025-07-02,10
si la calle llama - remix_eladio carrion,2024-05-18,2024-08-29,104,20,2024-05-19,1
si no es contigo_cris mj,2025-06-18,2025-09-20,95,31,2025-08-09,52
si no estás_iñigo quintero,2024-09-20,2025-04-03,196,1,2024-09-29,9
si sabe ferxxo_blessd,2025-01-28,2025-02-28,32,27,2025-02-01,4
"si si si si (feat. eladio carrion, bryant myers, dei v)_the academy: segunda misión",2025-03-31,2025-03-31,1,16,2025-03-31,0
"si si si si (feat. eladio carrion, bryant myers, dei v)_the academy: segunda misión & justin quiles & lenny tavárez",2025-04-01,2025-06-08,69,16,2025-04-12,11
si te pegas_rauw alejandro,2024-07-09,2024-07-12,4,30,2024-07-09,0
sigo enamorau'_eladio carrion,2025-01-21,2025-01-21,1,17,2025-01-21,0
sin gato (miau!)_rels b,2024-05-28,2024-06-03,7,45,2024-05-28,0
sleigh ride_the ronettes,2024-12-25,2024-12-27,3,28,2024-12-25,0
snowman_sia,2024-12-25,2024-12-27,3,27,2024-12-25,0
sofi - remix_samueliyo baby & kevin roldan,2024-12-12,2024-12-14,3,22,2024-12-12,0
solita y sueltaaa_rels b,2024-07-23,2024-07-25,3,49,2024-07-25,2
soltera_shakira,2025-09-28,2025-11-27,61,5,2025-10-14,16
sonrisa_eladio carrion,2025-01-21,2025-01-21,1,16,2025-01-21,0
sorry 4 that much_feid,2025-06-09,2025-07-17,39,9,2025-06-17,8
spanish teteo_rvfv & rels b & omar montes,2024-09-10,2024-09-11,2,50,2024-09-10,0
sport+ rmx_clarent & myke towers,2025-08-15,2025-08-23,9,47,2025-08-17,2
star_jc reyes,2025-10-20,2025-11-27,39,7,2025-11-15,26
suano_ntg & amenazzy,2025-05-16,2025-08-09,86,6,2025-06-02,17
supernova_saiko,2024-05-18,2025-05-03,351,1,2024-05-18,0
t'as peur_aya nakamura,2024-05-18,2024-05-21,4,45,2024-05-18,0
tacos gucci_anuel aa,2025-02-18,2025-03-05,16,19,2025-02-22,4
también_myke towers,2025-08-24,2025-11-27,96,5,2025-10-06,43
tanta droga_eladio carrion,2025-01-21,2025-01-21,1,27,2025-01-21,0
taste_sabrina carpenter,2025-08-29,2025-09-03,6,47,2025-08-31,2
tattoo_loreen,2024-05-18,2024-06-02,16,21,2024-05-18,0
te fallé_quevedo,2025-11-24,2025-11-27,4,17,2025-11-24,0
te menti_ozuna & saiko & ovy on the drums,2024-09-19,2024-09-29,11,38,2024-09-20,1
telefono nuevo_bad bunny,2024-10-14,2024-10-28,15,9,2024-10-14,0
tengo un plan_key-key,2025-04-04,2025-06-11,69,11,2025-04-14,10
thalía - remix_cyril kamer & rvfv & polimá westcoast,2025-07-18,2025-08-23,37,25,2025-08-04,17
thalía_cyril kamer,2025-03-15,2025-06-04,82,9,2025-04-09,25
the code_nemo,2025-05-14,2025-05-18,5,24,2025-05-14,0
the emptiness machine_linkin park,2025-09-11,2025-10-02,22,30,2025-09-13,2
thunder y lightning_bad bunny,2024-10-14,2024-11-17,35,14,2024-10-14,0
timeless (with playboi carti)_the weeknd & playboi carti,2025-09-29,2025-09-29,1,50,2025-09-29,0
todo contigo_álvaro de luna,2024-05-18,2024-09-23,129,12,2024-05-18,0
todo lit_eladio carrion,2025-01-21,2025-01-21,1,23,2025-01-21,0
toy en el mic_bizarrap & milo j,2024-10-07,2024-10-13,7,24,2024-10-10,3
tqg_karol g,2024-05-18,2025-08-08,448,9,2024-05-18,0
tqmqa_eladio carrion,2024-12-17,2025-01-26,41,15,2025-01-21,35
tranquila baby_eladio carrion,2025-01-21,2025-01-21,1,32,2025-01-21,0
trato de estar bien_duki,2025-11-03,2025-11-09,7,37,2025-11-03,0
trending remix (with myke towers)_dei v,2025-03-03,2025-07-20,140,10,2025-03-10,7
tu ritmo_eladio carrion,2025-01-21,2025-01-21,1,21,2025-01-21,0
tu silueta_diegote,2025-07-14,2025-10-28,107,5,2025-07-31,17
tu$$i (with dei v)_yovngchimi,2025-03-01,2025-08-16,169,11,2025-03-19,18
tuya_rosalía,2024-06-11,2024-07-18,38,6,2024-06-11,0
tú con él_rauw alejandro,2025-11-17,2025-11-23,7,12,2025-11-17,0
un deseo_mora,2024-08-30,2024-08-31,2,20,2024-08-30,0
un desperdicio_rels b,2025-04-28,2025-05-15,18,29,2025-05-08,10
un preview_bad bunny,2024-09-27,2024-11-02,37,1,2024-09-27,0
un rodeoooo_rels b,2024-07-23,2024-09-23,63,36,2024-08-10,18
un x100to_grupo frontera & bad bunny,2024-05-18,2024-06-14,28,31,2024-05-21,3
una bachata_lola indigo,2025-02-04,2025-04-27,83,8,2025-02-04,0
una foto remix (feat. emilia)_mesita & nicki nicole & tiago pzk,2025-01-11,2025-06-15,156,6,2025-02-01,21
una velita_bad bunny,2025-09-22,2025-09-27,6,7,2025-09-22,0
underneath the tree_kelly clarkson,2024-12-25,2024-12-27,3,22,2024-12-25,0
uwaie_kapo,2025-08-20,2025-11-27,100,2,2025-08-29,9
vacile_yan block,2025-08-15,2025-11-27,105,16,2025-10-17,63
vagabundo_sebastian yatra,2024-09-24,2024-09-26,3,14,2024-09-24,0
vagabundo_sebastian yatra & manuel turizo & beéle,2024-05-18,2025-10-16,517,3,2024-06-04,17
vampire_olivia rodrigo,2024-07-02,2024-07-02,1,48,2024-07-02,0
vente conmigo_feid,2024-08-06,2024-08-12,7,22,2024-08-06,0
vida de rock_duki,2025-11-03,2025-11-10,8,34,2025-11-07,4
vista al mar_quevedo,2024-05-21,2024-07-29,70,43,2024-05-30,9
volver_tainy,2024-07-02,2024-07-02,1,49,2024-07-02,0
vou 787_bad bunny,2024-10-14,2024-10-18,5,13,2024-10-14,0
vuelve candy b_bad bunny,2024-10-14,2024-10-18,5,19,2024-10-14,0
"vvs switch (feat. hades66, luar la l & cdobleta) - remix_pressure 9x19 & anuel aa & yovngchimi",2025-03-17,2025-03-30,14,13,2025-03-17,0
wanda_quevedo,2024-05-18,2024-12-07,204,18,2024-05-18,0
we can't be friends (wait for your love)_ariana grande,2025-03-11,2025-03-20,10,31,2025-03-13,2
where she goes_bad bunny,2024-05-21,2024-10-28,161,1,2024-05-21,0
whisky_samuel g & oscar el ruso & aissa,2025-07-17,2025-07-31,15,30,2025-07-21,4
wya remix red_j abdiel & de la rose & yan block,2025-06-19,2025-11-16,151,22,2025-07-12,23
x'clusivo - remix_gonzy,2025-10-13,2025-11-23,42,21,2025-10-13,0
x'clusivo - remix_gonzy & saiko & arcángel,2025-03-03,2025-10-12,224,1,2025-03-03,0
x'clusivo_gonzy,2025-01-31,2025-03-09,38,3,2025-03-02,30
xxx_rosario_xxx_saiko,2024-12-24,2025-01-05,13,23,2024-12-24,0
ya es navidad popurrí: ya es navidad- zúmbale a la pandereta - ya vienen los reyes magos - arre borriquito - ya es navidad_raya real,2024-12-25,2024-12-25,1,34,2024-12-25,0
yandel 150_yandel,2024-05-18,2024-09-23,129,10,2024-05-18,0
yankee 150_yandel & feid & daddy yankee,2024-06-18,2024-06-18,1,46,2024-06-18,0
"yes, and?_ariana grande",2025-01-14,2025-01-20,7,30,2025-01-18,4
yo lo soñé_saiko,2025-04-28,2025-08-16,111,1,2025-04-30,2
yo lo soñé_saiko & omar montes,2025-04-19,2025-04-27,9,2,2025-04-25,6
yo sé_yan block & torrres,2025-11-01,2025-11-27,27,8,2025-11-22,21
yo tengo un novio_lola indigo,2024-12-17,2024-12-24,8,18,2024-12-21,4
yotuloko_omar montes & rels b,2025-07-14,2025-11-05,115,22,2025-07-27,13
"young miko: bzrp music sessions, vol. 58_bizarrap & young miko",2025-01-13,2025-04-26,104,1,2025-01-13,0
zorra_nebulossa,2025-02-05,2025-05-18,103,8,2025-02-05,0
